time_utc,src,dst,method,url,user_agent
2025-11-11 11:18:23+00:00Z,192.168.100.185,192.168.100.223,GET,http://gateway.test/,curl/8.15.0
2025-11-11 11:18:23+00:00Z,192.168.100.185,192.168.100.223,GET,http://gateway.test/,curl/8.15.0
